RATE,CURRENCY,DATE
1.12,eur,2022-01-01
0.78,cad,2022-01-01
1.34,gbp,2022-01-01
0.71,aud,2022-01-01
0.01,jpy,2022-01-01
0.18,brl,2022-01-01
1.08,chf,2022-01-01
0.15,dkk,2022-01-01
0.01,rub,2022-01-01
0.25,pln,2022-01-01
0.11,sek,2022-01-01
0.04,twd,2022-01-01
0.32,ils,2022-01-01
0.00,krw,2022-01-01
0.05,mxn,2022-01-01
0.11,nok,2022-01-01
0.73,sgd,2022-01-01
0.07,try,2022-01-01
0.73,bnd,2022-01-01
0.01,inr,2022-01-01
0.24,myr,2022-01-01
0.27,sar,2022-01-01
0.00,clp,2022-01-01
0.00,cop,2022-01-01
0.66,nzd,2022-01-01
0.23,ron,2022-01-01
0.06,zar,2022-01-01
0.13,hkd,2022-01-01
0.02,php,2022-01-01
0.05,czk,2022-01-01
0.27,aed,2022-01-01
0.06,egp,2022-01-01
0.00,idr,2022-01-01
0.00,lbp,2022-01-01
0.26,pen,2022-01-01
0.03,thb,2022-01-01
0.16,cny,2022-01-01
0.15,hrk,2022-01-01
0.00,huf,2022-01-01
0.01,pkr,2022-01-01
0.27,qar,2022-01-01
0.00,tzs,2022-01-01
0.03,uah,2022-01-01
0.00,vnd,2022-01-01
0.00,crc,2022-01-01
0.00,kzt,2022-01-01
0.00,ngn,2022-01-01
0.57,bgn,2022-01-01
1.11,eur,2021-12-01
0.77,cad,2021-12-01
1.31,gbp,2021-12-01
0.70,aud,2021-12-01
0.01,jpy,2021-12-01
0.18,brl,2021-12-01
1.07,chf,2021-12-01
0.15,dkk,2021-12-01
0.01,rub,2021-12-01
0.24,pln,2021-12-01
0.11,sek,2021-12-01
0.04,twd,2021-12-01
0.31,ils,2021-12-01
0.00,krw,2021-12-01
0.05,mxn,2021-12-01
0.11,nok,2021-12-01
0.72,sgd,2021-12-01
0.07,try,2021-12-01
0.73,bnd,2021-12-01
0.01,inr,2021-12-01
0.24,myr,2021-12-01
0.27,sar,2021-12-01
0.00,clp,2021-12-01
0.00,cop,2021-12-01
0.68,nzd,2021-12-01
0.23,ron,2021-12-01
0.06,zar,2021-12-01
0.13,hkd,2021-12-01
0.02,php,2021-12-01
0.05,czk,2021-12-01
0.27,aed,2021-12-01
0.06,egp,2021-12-01
0.00,idr,2021-12-01
0.00,lbp,2021-12-01
0.25,pen,2021-12-01
0.03,thb,2021-12-01
0.16,cny,2021-12-01
0.15,hrk,2021-12-01
0.00,huf,2021-12-01
0.01,pkr,2021-12-01
0.27,qar,2021-12-01
0.00,tzs,2021-12-01
0.04,uah,2021-12-01
0.00,vnd,2021-12-01
0.00,crc,2021-12-01
0.00,kzt,2021-12-01
0.00,ngn,2021-12-01
0.58,bgn,2021-12-01
1.12,eur,2021-11-01
0.79,cad,2021-11-01
1.33,gbp,2021-11-01
0.72,aud,2021-11-01
0.01,jpy,2021-11-01
0.18,brl,2021-11-01
1.07,chf,2021-11-01
0.15,dkk,2021-11-01
0.01,rub,2021-11-01
0.24,pln,2021-11-01
0.11,sek,2021-11-01
0.04,twd,2021-11-01
0.31,ils,2021-11-01
0.00,krw,2021-11-01
0.05,mxn,2021-11-01
0.11,nok,2021-11-01
0.73,sgd,2021-11-01
0.10,try,2021-11-01
0.72,bnd,2021-11-01
0.01,inr,2021-11-01
0.24,myr,2021-11-01
0.27,sar,2021-11-01
0.00,clp,2021-11-01
0.00,cop,2021-11-01
0.68,nzd,2021-11-01
0.23,ron,2021-11-01
0.06,zar,2021-11-01
0.13,hkd,2021-11-01
0.02,php,2021-11-01
0.04,czk,2021-11-01
0.27,aed,2021-11-01
0.06,egp,2021-11-01
0.00,idr,2021-11-01
0.00,lbp,2021-11-01
0.25,pen,2021-11-01
0.03,thb,2021-11-01
0.16,cny,2021-11-01
0.15,hrk,2021-11-01
0.00,huf,2021-11-01
0.01,pkr,2021-11-01
0.27,qar,2021-11-01
0.00,tzs,2021-11-01
0.04,uah,2021-11-01
0.00,vnd,2021-11-01
0.00,crc,2021-11-01
0.00,kzt,2021-11-01
0.00,ngn,2021-11-01
0.58,bgn,2021-11-01
1.16,eur,2021-07-01
0.79,cad,2021-07-01
1.36,gbp,2021-07-01
0.73,aud,2021-07-01
0.01,jpy,2021-07-01
0.19,brl,2021-07-01
1.07,chf,2021-07-01
0.16,dkk,2021-07-01
0.01,rub,2021-07-01
0.26,pln,2021-07-01
0.11,sek,2021-07-01
0.04,twd,2021-07-01
0.30,ils,2021-07-01
0.00,krw,2021-07-01
0.05,mxn,2021-07-01
0.11,nok,2021-07-01
0.73,sgd,2021-07-01
0.11,try,2021-07-01
0.73,bnd,2021-07-01
0.01,inr,2021-07-01
0.24,myr,2021-07-01
0.27,sar,2021-07-01
0.00,clp,2021-07-01
0.00,cop,2021-07-01
0.70,nzd,2021-07-01
0.24,ron,2021-07-01
0.07,zar,2021-07-01
0.13,hkd,2021-07-01
0.02,php,2021-07-01
0.05,czk,2021-07-01
0.27,aed,2021-07-01
0.06,egp,2021-07-01
0.00,idr,2021-07-01
0.00,lbp,2021-07-01
0.26,pen,2021-07-01
0.03,thb,2021-07-01
0.15,cny,2021-07-01
0.16,hrk,2021-07-01
0.00,huf,2021-07-01
0.01,pkr,2021-07-01
0.27,qar,2021-07-01
0.00,tzs,2021-07-01
0.04,uah,2021-07-01
0.00,vnd,2021-07-01
0.00,crc,2021-07-01
0.00,kzt,2021-07-01
0.00,ngn,2021-07-01
0.60,bgn,2021-07-01
1.16,eur,2021-04-01
0.78,cad,2021-04-01
1.35,gbp,2021-04-01
0.75,aud,2021-04-01
0.01,jpy,2021-04-01
0.15,brl,2021-04-01
1.05,chf,2021-04-01
0.16,dkk,2021-04-01
0.01,rub,2021-04-01
0.25,pln,2021-04-01
0.11,sek,2021-04-01
0.03,twd,2021-04-01
0.30,ils,2021-04-01
0.00,krw,2021-04-01
0.05,mxn,2021-04-01
0.12,nok,2021-04-01
0.73,sgd,2021-04-01
0.12,try,2021-04-01
0.74,bnd,2021-04-01
0.01,inr,2021-04-01
0.24,myr,2021-04-01
0.27,sar,2021-04-01
0.00,clp,2021-04-01
0.00,cop,2021-04-01
0.72,nzd,2021-04-01
0.25,ron,2021-04-01
0.07,zar,2021-04-01
0.13,hkd,2021-04-01
0.02,php,2021-04-01
0.05,czk,2021-04-01
0.27,aed,2021-04-01
0.06,egp,2021-04-01
0.00,idr,2021-04-01
0.00,lbp,2021-04-01
0.26,pen,2021-04-01
0.03,thb,2021-04-01
0.15,cny,2021-04-01
0.16,hrk,2021-04-01
0.00,huf,2021-04-01
0.01,pkr,2021-04-01
0.27,qar,2021-04-01
0.00,tzs,2021-04-01
0.04,uah,2021-04-01
0.00,vnd,2021-04-01
0.00,crc,2021-04-01
0.00,kzt,2021-04-01
0.00,ngn,2021-04-01
0.62,bgn,2021-04-01
1.13,eur,2020-07-01
0.73,cad,2020-07-01
1.24,gbp,2020-07-01
0.69,aud,2020-07-01
0.01,jpy,2020-07-01
0.18,brl,2020-07-01
1.05,chf,2020-07-01
0.15,dkk,2020-07-01
0.01,rub,2020-07-01
0.25,pln,2020-07-01
0.11,sek,2020-07-01
0.03,twd,2020-07-01
0.29,ils,2020-07-01
0.00,krw,2020-07-01
0.04,mxn,2020-07-01
0.11,nok,2020-07-01
0.71,sgd,2020-07-01
0.14,try,2020-07-01
0.71,bnd,2020-07-01
0.01,inr,2020-07-01
0.24,myr,2020-07-01
0.27,sar,2020-07-01
0.00,clp,2020-07-01
0.00,cop,2020-07-01
0.66,nzd,2020-07-01
0.24,ron,2020-07-01
0.06,zar,2020-07-01
0.13,hkd,2020-07-01
0.02,php,2020-07-01
0.05,czk,2020-07-01
0.27,aed,2020-07-01
0.06,egp,2020-07-01
0.00,idr,2020-07-01
0.00,lbp,2020-07-01
0.28,pen,2020-07-01
0.03,thb,2020-07-01
0.14,cny,2020-07-01
0.16,hrk,2020-07-01
0.00,huf,2020-07-01
0.01,pkr,2020-07-01
0.27,qar,2020-07-01
0.00,tzs,2020-07-01
0.04,uah,2020-07-01
0.00,vnd,2020-07-01
0.00,crc,2020-07-01
0.00,kzt,2020-07-01
0.00,ngn,2020-07-01
0.60,bgn,2020-07-01
1.09,eur,2020-01-01
0.75,cad,2020-01-01
1.28,gbp,2020-01-01
0.67,aud,2020-01-01
0.01,jpy,2020-01-01
0.24,brl,2020-01-01
1.01,chf,2020-01-01
0.15,dkk,2020-01-01
0.02,rub,2020-01-01
0.25,pln,2020-01-01
0.10,sek,2020-01-01
0.03,twd,2020-01-01
0.28,ils,2020-01-01
0.00,krw,2020-01-01
0.05,mxn,2020-01-01
0.11,nok,2020-01-01
0.73,sgd,2020-01-01
0.17,try,2020-01-01
0.73,bnd,2020-01-01
0.01,inr,2020-01-01
0.24,myr,2020-01-01
0.27,sar,2020-01-01
0.00,clp,2020-01-01
0.00,cop,2020-01-01
0.65,nzd,2020-01-01
0.23,ron,2020-01-01
0.07,zar,2020-01-01
0.13,hkd,2020-01-01
0.02,php,2020-01-01
0.04,czk,2020-01-01
0.27,aed,2020-01-01
0.06,egp,2020-01-01
0.00,idr,2020-01-01
0.00,lbp,2020-01-01
0.30,pen,2020-01-01
0.03,thb,2020-01-01
0.14,cny,2020-01-01
0.15,hrk,2020-01-01
0.00,huf,2020-01-01
0.01,pkr,2020-01-01
0.27,qar,2020-01-01
0.00,tzs,2020-01-01
0.04,uah,2020-01-01
0.00,vnd,2020-01-01
0.00,crc,2020-01-01
0.00,kzt,2020-01-01
0.00,ngn,2020-01-01
0.57,bgn,2020-01-01
1.08,eur,2020-02-01
0.74,cad,2020-02-01
1.27,gbp,2020-02-01
0.65,aud,2020-02-01
0.01,jpy,2020-02-01
0.23,brl,2020-02-01
1.01,chf,2020-02-01
0.14,dkk,2020-02-01
0.02,rub,2020-02-01
0.25,pln,2020-02-01
0.10,sek,2020-02-01
0.03,twd,2020-02-01
0.29,ils,2020-02-01
0.00,krw,2020-02-01
0.05,mxn,2020-02-01
0.11,nok,2020-02-01
0.71,sgd,2020-02-01
0.16,try,2020-02-01
0.71,bnd,2020-02-01
0.01,inr,2020-02-01
0.24,myr,2020-02-01
0.27,sar,2020-02-01
0.00,clp,2020-02-01
0.00,cop,2020-02-01
0.62,nzd,2020-02-01
1.06,eur,2020-04-01
0.70,cad,2020-04-01
1.22,gbp,2020-04-01
0.62,aud,2020-04-01
0.01,jpy,2020-04-01
0.18,brl,2020-04-01
1.01,chf,2020-04-01
0.14,dkk,2020-04-01
0.01,rub,2020-04-01
0.23,pln,2020-04-01
0.10,sek,2020-04-01
0.03,twd,2020-04-01
0.28,ils,2020-04-01
0.00,krw,2020-04-01
0.04,mxn,2020-04-01
0.09,nok,2020-04-01
0.69,sgd,2020-04-01
0.14,try,2020-04-01
0.63,bnd,2020-04-01
0.01,inr,2020-04-01
0.23,myr,2020-04-01
0.27,sar,2020-04-01
0.00,clp,2020-04-01
0.00,cop,2020-04-01
0.61,nzd,2020-04-01
0.23,ron,2020-04-01
0.05,zar,2020-04-01
0.13,hkd,2020-04-01
0.02,php,2020-04-01
0.04,czk,2020-04-01
0.27,aed,2020-04-01
0.06,egp,2020-04-01
0.00,idr,2020-04-01
0.00,lbp,2020-04-01
0.30,pen,2020-04-01
0.03,thb,2020-04-01
0.14,cny,2020-04-01
0.14,hrk,2020-04-01
0.00,huf,2020-04-01
0.01,pkr,2020-04-01
0.27,qar,2020-04-01
0.00,tzs,2020-04-01
0.04,uah,2020-04-01
0.00,vnd,2020-04-01
0.00,crc,2020-04-01
0.00,kzt,2020-04-01
0.00,ngn,2020-04-01
0.56,bgn,2020-04-01
0.23,ron,2020-02-01
0.06,zar,2020-02-01
0.13,hkd,2020-02-01
0.02,php,2020-02-01
0.04,czk,2020-02-01
0.27,aed,2020-02-01
0.06,egp,2020-02-01
0.00,idr,2020-02-01
0.00,lbp,2020-02-01
0.29,pen,2020-02-01
0.03,thb,2020-02-01
0.14,cny,2020-02-01
0.15,hrk,2020-02-01
0.00,huf,2020-02-01
0.01,pkr,2020-02-01
0.27,qar,2020-02-01
0.00,tzs,2020-02-01
0.04,uah,2020-02-01
0.00,vnd,2020-02-01
0.00,crc,2020-02-01
0.00,kzt,2020-02-01
0.00,ngn,2020-02-01
0.56,bgn,2020-02-01
1.08,eur,2020-03-01
0.70,cad,2020-03-01
1.20,gbp,2020-03-01
0.60,aud,2020-03-01
0.01,jpy,2020-03-01
0.21,brl,2020-03-01
1.01,chf,2020-03-01
0.15,dkk,2020-03-01
0.01,rub,2020-03-01
0.24,pln,2020-03-01
0.10,sek,2020-03-01
0.03,twd,2020-03-01
0.27,ils,2020-03-01
0.00,krw,2020-03-01
0.04,mxn,2020-03-01
0.09,nok,2020-03-01
0.68,sgd,2020-03-01
0.15,try,2020-03-01
0.71,bnd,2020-03-01
0.01,inr,2020-03-01
0.23,myr,2020-03-01
0.27,sar,2020-03-01
0.00,clp,2020-03-01
0.00,cop,2020-03-01
0.60,nzd,2020-03-01
0.23,ron,2020-03-01
0.06,zar,2020-03-01
0.13,hkd,2020-03-01
0.02,php,2020-03-01
0.04,czk,2020-03-01
0.27,aed,2020-03-01
0.06,egp,2020-03-01
0.00,idr,2020-03-01
0.00,lbp,2020-03-01
0.29,pen,2020-03-01
0.03,thb,2020-03-01
0.14,cny,2020-03-01
0.14,hrk,2020-03-01
